EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
200058519;CA Saint-Germain Boucles de Seine;2017;3452
200058782;CA de Saint-Quentin-en-Yvelines;2017;2746
200059228;CA Grand Paris Sud Seine Essonne Sénart;2017;2409
200059392;CC Bièvre Isère;2017;3894
200059400;CC Porte Océane du Limousin;2017;1357
200059889;CU Grand Paris Seine et Oise;2017;4610
200060010;CA Mauges Communauté;2017;15867
200065563;CC Normandie-Cabourg-Pays d'Auge;2017;1284
200065589;CC Val Ès Dunes;2017;872
200065597;CU Caen la Mer;2017;6236
200065647;CA Pays de Montbéliard;2017;1890
200065787;CC de Pont-Audemer - Val de Risle;2017;1132
200065886;CA Loire Forez;2017;6799
200065894;CC de Forez-Est;2017;4812
200065928;CA Lannion-Trégor Communauté;2017;9554
200066009;CA Mulhouse Alsace;2017;3162
200066017;CC Lieuvin Pays d'Auge;2017;1794
200066025;CC Pays Rhin - Brisach;2017;1447
200066033;CC Porte d'Alsace - Largue;2017;1155
200066041;CC d'Altkirch et Environs;2017;2121
200066058;CA Saint-Louis;2017;1707
200066108;CC Haute Saulx et Perthois-Val d'Ornois;2017;1320
200066116;CC Argonne-Meuse;2017;1154
200066124;CA du Rabastinois - Tarn et Dadou - Vère Grésigne et Pays Salvagnacois;2017;8421
200066132;CC du Pays de Stenay et du Val Dunois;2017;1155
200066140;CC Entre Aire et Meuse - Triaucourt-Vaubécourt;2017;1288
200066157;CC de Commercy - Void - Vaucouleurs;2017;1625
200066165;CC Val de Meuse - Voie Sacrée;2017;759
200066173;CC de Damvillers Spincourt;2017;1040
200066223;CC Arize Lèze;2017;1463
200066231;CC des Portes d'Ariège Pyrénées;2017;2399
200066280;CC du Pithiverais;2017;2243
200066322;CC Terres des Confluences;2017;6493
200066330;CC Terres du Haut-Berry;2017;2570
200066348;CC Minervois Saint-Ponais Orb-Jaur;2017;2658
200066355;CA du Bassin de Thau;2017;4579
200066363;CC de la Haute Ariège;2017;371
200066371;CC Causses et Vallée de la Dordogne;2017;5655
200066389;CA Saint-Lô;2017;10440
200066405;CC Roumois Seine;2017;2266
200066413;CC Intercom Bernay Terres de Normandie;2017;3984
200066462;CC Interco Normandie Sud Eure;2017;3101
200066512;CC Élan Limousin Avenir Nature;2017;1867
200066520;CC Ouest Limousin;2017;1321
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;2017;1391
200066561;CC Sidobre Val d'Agout-Vals et Plateaux des Monts de Lacaune;2017;1581
200066587;CC des Monts du Lyonnais;2017;3550
200066603;CC du Pays de Lubersac-Pompadour;2017;1647
200066637;CC Hautes Terres;2017;3062
200066645;CC Vézère-Monédières-Millesources;2017;849
200066652;CC Grand Sud Tarn et Garonne;2017;3854
200066660;CC des Pays de Caldaguès-Aubrac, Pierrefort-Neuvéglise, Planèze, Saint-Flour Margeride;2017;5329
200066678;CC de la Châtaigneraie Cantalienne;2017;5200
200066710;CC Cingal-Suisse Normande;2017;1740
